phase,train_window_days,model,accuracy,balanced_accuracy,macro_f1,log_loss,roc_auc,brier,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_worst,robust_score,oof_rows
confirm,730,extra_trees,0.6666666666666666,0.651098901098901,0.6449674964455658,0.6373970164322154,0.6906203364536697,0.22281036563371448,0.6438384114964624,0.027438367559554106,0.6122209165687427,0.6369788196065739,720
confirm,1095,extra_trees,0.6555555555555556,0.6297313797313797,0.6273758545563819,0.6407118932177672,0.6843966218966218,0.22445143168607246,0.6241048853051456,0.01977604374318663,0.6014676113360324,0.619160874369349,720
scout,730,extra_trees,0.6666666666666666,0.6575797872340425,0.6481116774791473,0.6380000597293228,0.7004200918762089,0.22313143875722782,0.6472180040954052,0.03095370900616387,0.6122209165687427,0.6394795768438643,540
scout,1095,extra_trees,0.6574074074074074,0.6380863152804642,0.633096933659959,0.6368268939059101,0.6995738636363636,0.22259576637469888,0.6295164276376318,0.02010762823353564,0.6014676113360324,0.6244895205792479,540
scout,1825,extra_trees,0.6351851851851852,0.648301499032882,0.6263579559623618,0.649090963365062,0.7018405464216635,0.2284289298821377,0.6250872134739175,0.017850979659193165,0.602005543271776,0.6206244685591192,540
scout,expanding,extra_trees,0.6351851851851852,0.6470623791102514,0.6259164835164834,0.6631394621808842,0.6855355415860735,0.23519470434904494,0.6240561441451515,0.02062913630697879,0.595,0.6188988600684069,540
scout,365,extra_trees,0.6481481481481481,0.6297449226305609,0.6243189407698166,0.6411815458264357,0.6743985735009671,0.22479693968576062,0.6202543595355956,0.03251059565390605,0.5786385342863385,0.6121267106221191,540
