task,model,accuracy,balanced_accuracy,macro_f1,log_loss,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_worst,robust_score,oof_rows,roc_auc,brier
direction_binary,extra_trees,0.5074074074074074,0.5088372188742278,0.5020522491541406,0.6955258453001231,0.5003231020530295,0.021787452573154936,0.4725028058361392,0.4948762389097408,1080,0.5129805762971144,0.25115517807984405
direction_binary,catboost,0.49722222222222223,0.4981341171870445,0.49516157773628466,0.7288713361067507,0.49297558928731067,0.03415468037591231,0.42882030861124937,0.4844369191933326,1080,0.501531464477913,0.2657843231895396
direction_binary,lightgbm,0.48055555555555557,0.4810804970656935,0.4799451688410008,0.7521804949255684,0.47718677834368045,0.029826054590271753,0.43383887141478,0.4697302646961125,1080,0.48002236315430236,0.27599662125233637
move_binary,extra_trees,0.662962962962963,0.6671299227198999,0.6517252499193809,0.6428375376175024,0.6497161339406742,0.03549765633300002,0.5773081201334817,0.6408417198574242,1080,0.7143333420740134,0.22540460920274402
move_binary,catboost,0.6759259259259259,0.6507074331993512,0.6492191878960204,0.6026659606318786,0.6482756428630112,0.03326990641928547,0.610031512605042,0.6399581662581898,1080,0.7131645882577701,0.20710705086145023
move_binary,lightgbm,0.6657407407407407,0.6463452094204554,0.642566065412207,0.6134266244397035,0.6418615145809786,0.00926374836410811,0.6278507586119151,0.6395455774899516,1080,0.7094335664597623,0.21229022869422073
three_class,extra_trees,0.5555555555555556,0.4544805463284234,0.4445034469203124,1.0106338288210226,0.43664940621251197,0.02621691621535273,0.39523789360771194,0.4300951771586738,1080,,
three_class,catboost,0.5611111111111111,0.4374862272186834,0.43328514946498525,0.9434293734728804,0.42897834984538036,0.021707204084177964,0.39178684584289303,0.4235515488243359,1080,,
three_class,lightgbm,0.5916666666666667,0.41729975747366366,0.4192489282576917,0.9152267160046786,0.4180291244333956,0.03709917225482754,0.35536560603721323,0.40875433136968875,1080,,
