phase,feature_set,model,accuracy,balanced_accuracy,macro_f1,log_loss,roc_auc,brier,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_worst,robust_score,oof_rows
confirm,price_crypto,extra_trees,0.7138888888888889,0.6643660311160958,0.6575671382660411,0.6005483238261904,0.7394626098793124,0.205338194322427,0.6534566375078467,0.012957057056684276,0.6411483253588517,0.6502173732436756,720
confirm,price_macro,extra_trees,0.7152777777777778,0.6683777643574037,0.6605952460339543,0.6054287719200654,0.7263202292966766,0.20771195187233651,0.6608360304699911,0.04580636266334885,0.6032511365201818,0.6493844398041538,720
confirm,price_all_external,extra_trees,0.7027777777777777,0.6612314151784431,0.6507041231784837,0.6089844907301635,0.7238087021539701,0.20932059263985106,0.6484140136719012,0.03040271338841811,0.6032511365201818,0.6408133353247967,720
confirm,price_crypto,lightgbm,0.7138888888888889,0.6430276363845513,0.6434615384615385,0.5682146678501526,0.7239237339314986,0.19001920504468395,0.6424285047745711,0.011416753231706262,0.6296296296296297,0.6395743164666445,720
confirm,price_all_external,catboost,0.7222222222222222,0.6320421016305754,0.6375498368974266,0.5590416441146755,0.7261572676118444,0.18531483586905237,0.6316335959927556,0.032299787563021834,0.5864678589125636,0.6235586491020001,720
