threshold,accuracy,balanced_accuracy,macro_f1
0.5,0.7314814814814815,0.6488630354309889,0.6544190665342602
0.475,0.7021604938271605,0.6632293319231447,0.6524831957407906
0.525,0.7469135802469136,0.6364181209236736,0.6476018675721562
0.45,0.6774691358024691,0.6708796051471884,0.6438839556879646
0.425,0.6404320987654321,0.6682707562136436,0.6209241893571348
0.55,0.7422839506172839,0.606680768552794,0.6145810702519812
