model,mae,rmse,pearson,spearman,sign_accuracy,derived_class_macro_f1,derived_class_balanced_accuracy,fold_pearson_mean,fold_pearson_std,fold_derived_macro_f1_mean,fold_derived_macro_f1_std,oof_rows
catboost_reg,0.018064314645016066,0.025333890781731584,-0.0024690097454859203,0.004084003653790665,0.512962962962963,0.27323974662035755,0.33620758022537367,-0.007241136289138891,0.056100194068296805,0.2721402809148597,0.01557660351261509,1080
lightgbm_reg,0.018434827736547355,0.02592106460171818,-0.035105726237649904,0.001444636202724987,0.5046296296296297,0.2781276959214179,0.336688223518357,-0.029609216525538135,0.08889200195332642,0.2776547605041287,0.02287098135073621,1080
extra_trees_reg,0.017734484124963684,0.025032892098429068,-0.01731657943553362,-0.023217250510140845,0.5009259259259259,0.2614894016132058,0.3333333333333333,-0.029682388274357596,0.10197319262214712,0.2614131627958907,0.005563666533857709,1080
random_forest_reg,0.017765138240481818,0.02505187251671662,-0.03453504377750215,-0.04426433645585925,0.47685185185185186,0.26163663663663667,0.3333333333333333,-0.04982796242823756,0.07696768218361763,0.26156228553857575,0.005781216250894966,1080
hist_gradient_reg,0.01913311333654695,0.026505494024896863,-0.04089463503297746,-0.01657181157086421,0.4898148148148148,0.29793438932279004,0.34267703894892926,-0.05360574381093883,0.03876363028418957,0.2902685175057088,0.03412526997067272,1080
