phase,top_k,feature_set,model,accuracy,balanced_accuracy,macro_f1,log_loss,roc_auc,brier,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_worst,robust_score,oof_rows
confirm,50,price_crypto,extra_trees,0.7111111111111111,0.6990193540965692,0.6743186701345697,0.6024002375866592,0.7457701856804609,0.20652103578657421,0.6731674178052164,0.022959219426600078,0.6452159479926691,0.6674276129485663,720
confirm,75,price_crypto,extra_trees,0.7138888888888889,0.6887527679521468,0.6709849157054126,0.605480668615018,0.7456647398843931,0.2077358984482395,0.6701521730525524,0.03409442994266947,0.63572267920094,0.661628565566885,720
confirm,30,price_crypto,extra_trees,0.6944444444444444,0.6859344894026975,0.6590439454470314,0.6078354070004033,0.7414181500972976,0.20907276996450114,0.658244414276458,0.031165190950323912,0.6308473583124451,0.6504531165388769,720
confirm,100,price_crypto,extra_trees,0.7138888888888889,0.6643660311160958,0.6575671382660411,0.6005483238261904,0.7394626098793124,0.205338194322427,0.6534566375078467,0.012957057056684276,0.6411483253588517,0.6502173732436756,720
confirm,150,price_crypto,extra_trees,0.7069444444444445,0.6595490754320881,0.6515844056959252,0.6079133954129504,0.732857868652882,0.20866882368432463,0.6461357587910865,0.01231160130181422,0.6333389916822272,0.643057858465633,720
